시군구별(1),합계,합계,합계,합계,합계,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세
시군구별(1),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,취득세,취득세,취득세,취득세,취득세,등록면허세,등록면허세,등록면허세,등록면허세,등록면허세,레저세,레저세,레저세,레저세,레저세,지방소비세,지방소비세,지방소비세,지방소비세,지방소비세,지역자원시설세,지역자원시설세,지역자원시설세,지역자원시설세,지역자원시설세,지방교육세,지방교육세,지방교육세,지방교육세,지방교육세,주민세,주민세,주민세,주민세,주민세,지방소득세,지방소득세,지방소득세,지방소득세,지방소득세,재산세,재산세,재산세,재산세,재산세,자동차세,자동차세,자동차세,자동차세,자동차세,담배소비세,담배소비세,담배소비세,담배소비세,담배소비세,도축세,도축세,도축세,도축세,도축세,도시계획세,도시계획세,도시계획세,도시계획세,도시계획세,과년도수입,과년도수입,과년도수입,과년도수입,과년도수입,소계,소계,소계,소계,소계,등록면허세,등록면허세,등록면허세,등록면허세,등록면허세,지방소비세,주민세,주민세,주민세,주민세,주민세,지방소득세,지방소득세,지방소득세,지방소득세,지방소득세,재산세,재산세,재산세,재산세,재산세,과년도수입,과년도수입,과년도수입,과년도수입,과년도수입
시군구별(1),2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020
종로구,707522459,784938780,893656953,937809821,975053926,648800007,725810145,831150071,870591124,895087153,137454177,156107462,189745963,185602111,208958466,0,0,0,0,0,4143084,4024663,4029018,3974651,553188,0,0,0,0,0,11234329,11018374,11760890,11902875,12980315,35892799,38061107,43006125,41776928,46947777,38152070,39518872,41705373,44521845,45981805,331868615,381714222,440971174,473178087,464908814,76162144,81560858,86777724,95517488,101544177,9373647,9536450,9774336,9847024,9781106,0,0,0,0,0,0,0,0,0,0,-242,-254028,0,-16,0,4519384,4522165,3379468,4270131,3431505,58722452,59128635,62506882,67218697,79966773,19500297,18210023,18146952,17957511,26356102,1590000,0,0,0,0,0,0,0,0,0,0,38382767,40063702,43853009,48313562,51305830,839388,854910,506921,947624,714841
중구,1256127728,1264124615,1411350828,1655928475,1651563181,1165537163,1184612162,1322085290,1541617791,1536456018,243276878,211476391,227574555,379073861,348522983,0,0,0,0,0,1988142,1980953,2303402,2411594,623759,0,0,0,0,0,18117794,18583592,20698368,20440427,22255975,54974186,49935936,55788038,75848911,73698864,63472739,64523030,68164051,72465481,73134887,657635025,711985082,814325231,831371330,853522198,108792592,111378641,118947341,138909653,150956616,10946910,10686430,10458051,10433668,10353378,0,0,0,0,0,0,0,0,0,0,-110,0,0,-3672,0,6333007,4062107,3826253,10666538,3387358,90590565,79512453,89265538,114310684,115107163,32472307,21373480,27860057,42688301,35918191,538000,0,0,0,0,0,0,0,0,0,0,57476663,57373865,60811961,70927777,78071892,641595,765108,593520,694606,579080
용산구,598947376,746676480,692735897,712486006,1002792336,545487731,689462824,624867204,637874125,913776643,213768204,337162728,219695942,184767318,357600214,0,0,0,0,0,3969248,4204306,16023,0,0,0,0,0,0,0,7329643,7958306,9487096,9157050,9810393,43536729,53656154,48225743,48211624,67975785,12964421,14558828,17002233,18616204,19878723,159735278,159727244,204126019,233337945,296227003,83934718,91636202,104795936,121682709,140305610,14504278,15139505,16123780,16664838,17310348,0,0,0,0,0,0,0,0,0,0,-230,-27769,0,0,0,5745442,5447320,5394432,5436437,4668567,53459645,57213656,67868693,74611881,89015693,11508381,11389027,14687387,12397115,14829128,1777000,176,0,0,0,0,0,0,0,0,0,41242898,45208272,52439654,61543267,71749503,708190,616357,741652,671499,660062
성동구,396582949,503219698,516779535,530272967,730130655,357241525,460994156,470649261,476538446,662821894,149712020,226519028,211786752,194025658,329370245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6840100,7450454,8130302,8170815,8668850,30561864,38797713,39054323,40681646,56274247,10787781,11414512,12042226,13878198,13842216,77236444,86145115,101237716,107885389,129927328,59190093,65762671,73545580,86462637,99429675,17704830,18897329,19597002,20302615,20293142,0,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,5208438,6007334,5255360,5131488,5016191,39341424,42225542,46130274,53734521,67308761,13140453,12609192,13177088,14385382,18762956,2988000,-89,0,0,0,0,0,0,0,0,0,25791263,28869145,32539376,38992818,45192557,409797,747205,413810,356321,365248
광진구,320003716,364837202,409392219,391148203,434392830,286420194,330846645,371522836,352236461,388731367,109880977,136041863,162949053,135655185,167998492,0,0,0,0,0,2865003,8139084,5510899,6128953,720105,0,0,0,0,0,6037815,5984814,6359068,6267430,6347971,26127208,31409153,33760119,32702997,34337906,5514286,5753621,5943526,6124759,6078023,57416028,62576702,71222193,72827680,75468107,54422742,57303570,61752141,67889511,74984749,17805348,18460175,18685944,19138330,18752784,0,0,0,0,0,0,0,0,0,0,-78,-13,0,0,0,6350865,5177676,5339893,5501616,4043230,33583522,33990557,37869383,38911742,45661463,9232927,8825264,10622830,9124351,9291621,3342000,0,0,0,0,0,0,0,0,0,0,23442958,24725185,26741845,29370580,32736450,907637,440108,504708,416811,291392
동대문구,333335470,348706313,386297987,384482906,418400622,299844294,316863389,352109906,349322358,375312179,106217956,119055794,146161545,135461062,170984431,0,0,0,0,0,23497217,22336634,22052449,21072407,4212099,0,0,0,0,0,6605319,6622127,6848358,6667949,6928646,33497181,34466294,37602861,36608882,34496253,7021536,7390062,7984572,8021915,8440022,45926632,49261885,51320830,56425614,59507775,51953583,54377042,58056423,62250981,68342243,17064179,17653943,17677922,18154230,18247007,0,0,0,0,0,0,0,0,0,0,-2888,-364,0,-35,0,8063579,5699972,4404946,4659353,4153703,33491176,31842924,34188081,35160548,43088443,9404006,8168110,9092792,8785165,10175369,3883000,0,0,0,0,0,0,0,0,0,0,22212422,23112526,24773556,26086750,28610933,1874748,562288,321733,288633,419141
중랑구,264944651,252708042,257920510,272915013,323529826,242400340,230914762,235099097,247771064,291974350,107842682,93594662,92966324,98867875,149014933,0,0,0,0,0,15550292,15582676,15790888,14765246,3076704,0,0,0,0,0,4099950,4143642,4322756,4467416,4731708,26482688,25781323,26169331,27153520,26962938,3929389,3878302,4283837,4430770,4412110,23997445,25405236,27161835,29166759,32232556,36920787,38827503,41013394,44866153,47737941,17408159,18218722,18432927,18562784,18874180,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,6168948,5482702,4957805,5490541,4931280,22544311,21793280,22821413,25143949,31555476,7356457,6112098,6263842,6783766,7922798,4510000,0,0,0,0,0,0,0,0,0,0,14759871,15317480,16219742,17782920,18840245,427983,363702,337829,577263,282433
성북구,331294959,347738713,397313736,408127362,459382747,299558823,315703483,363964618,371059883,413462837,116206135,119605748,123486626,140991740,180507856,0,0,0,0,0,6639398,6084110,5868695,5582605,1317701,0,0,0,0,0,5696651,5691618,5864914,6373706,6431687,28747750,29127287,29719452,32305790,35592451,4398766,4715386,5247646,5499185,5677660,55482652,64407821,104564723,83999586,80520471,53692029,56749359,60607948,67020226,73061388,21650933,22246356,22089222,22671441,23526290,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,7044512,7075798,6515392,6615604,6827333,31736136,32035230,33349118,37067479,45919910,9235978,8199995,7885425,8912063,10095129,5039000,0,0,0,0,0,0,0,0,0,0,21839262,23079989,24857088,27573885,30133097,660896,755246,606605,581531,652684
강북구,176213039,183418657,185375542,182700937,215952215,158558220,165637858,167208989,164261678,191311639,62028371,65614052,65661252,61163610,89074181,0,0,0,0,0,10002203,8083770,8525478,8571110,1227150,0,0,0,0,0,3275064,3384189,3520056,3473516,3581222,18011818,17888230,18451222,17806808,18235299,2301947,2466302,2626737,2862674,3141420,17453426,20470204,19313125,19479691,23535326,28981719,30754860,32403187,34164735,36301269,11939668,12652341,12749874,12620688,12616954,0,0,0,0,0,0,0,0,0,0,-27,-40,-1334,-22,0,4564031,4323950,3959392,4118868,3598818,17654819,17780799,18166553,18439259,24640576,5418370,4867702,4559868,4041150,5447632,4256000,-16,0,-122,0,0,0,0,0,0,0,11902048,12620927,13332924,13917765,14753692,334417,292170,273883,480344,183252
도봉구,186063482,193651970,190484637,200934783,223710721,168062551,175950684,172544702,181093293,198128578,62120725,66106272,60983615,66435298,84985810,0,0,0,0,0,7545324,7800959,8100409,7627555,1131797,0,0,0,0,0,3336351,3399641,3456943,3356174,3360778,18158764,18826318,18544851,19443641,18924438,2768304,2731671,2917903,3141793,3003281,21536052,24082032,23782072,23936015,27583806,30670195,32043363,33716192,36193455,38370831,16269045,16754089,16767434,16847819,16931129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5657791,4206339,4275283,4111543,3836708,18000931,17701286,17939935,19841490,25582143,5546805,4818024,4372522,5370294,6036290,4281000,0,0,0,0,0,0,0,0,0,0,12083702,12579200,13228955,14205238,15027159,370424,304062,338458,265958,237694
노원구,312648311,298708626,302776253,294656891,396153647,282528983,269222087,272278635,262243459,352802949,111767324,100639015,102562831,85129763,158023777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5645684,5562656,5684174,5682917,5838797,26348362,25805123,26243419,25442478,33117422,5034407,5171989,5421468,5871692,6087346,47499856,42263413,40413094,43159915,48329612,51342560,54043775,57326474,61721603,67094695,27541913,28255256,27786036,28108757,28306931,0,0,0,0,0,0,0,0,0,0,-828,0,0,-24,-1045,7349705,7480860,6841139,7126358,6005414,30119328,29486539,30497618,32413432,43350698,9252247,7451806,7094979,7159674,9769391,6290000,0,0,0,0,0,0,0,0,0,0,20367811,21477687,22914841,24735515,26911975,499270,557046,487798,518243,379332
은평구,298677512,365801957,331656499,342932956,431453906,267914492,334376625,300251064,308689549,387845011,124270290,176762070,136438051,135656032,194388081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5298991,6055688,6292731,6901353,7277779,26130065,31544573,28097118,28503368,35965179,3467774,3770578,4040253,4741150,4894342,29872269,34299487,39000453,40733073,46685965,50107738,53501013,57374926,62986529,69682589,21680883,22204202,22592681,23139555,23632295,0,0,0,0,0,0,0,0,0,0,-46,0,0,0,0,7086528,6239014,6414851,6028489,5318781,30763020,31425332,31405435,34243407,43608895,9810997,9378642,7940129,8644741,10436801,4714000,0,0,0,0,0,0,0,0,0,0,20279282,21539130,22984350,25228821,28105007,672741,507560,480956,369845,353087
서대문구,316054342,312943338,313811062,347248547,421197507,288850717,284526213,285051142,313711874,379930218,128632153,112628906,107923660,113659041,169215395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5803389,5901727,6092467,6141821,6425044,24365568,23360081,23045379,25385896,31908182,7713280,8008419,8246247,8911991,9344372,58661765,67033731,68504376,81323203,78625844,44036733,47518717,51066872,57044802,63421392,15131877,15786076,16036266,16479785,17009169,0,0,0,0,0,0,0,0,0,0,-2593,-25,0,0,-9,4508545,4288581,4135875,4765335,3980829,27203625,28417125,28759920,33536673,41267289,8090246,7698098,6730651,8681876,9623664,3973000,0,0,0,0,0,0,0,0,0,0,18700589,20169837,21640969,24332357,27326844,412790,549190,388300,522440,343781
마포구,614919307,630053204,685969808,741808032,877556921,557602751,570801226,621798739,669978211,788794890,224109750,203348282,230562932,241472499,330546744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14014746,14532596,15285573,15210739,17330180,44751855,43199441,47797211,51740022,63949042,19665271,20608566,23763180,25383835,24889736,140513357,166726855,173631758,189580984,189342749,85045486,93151954,101761975,116879972,133401330,22516215,22927556,22901484,23600026,24041335,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,6986071,6305984,6094626,6110134,5293774,57316556,59251978,64171069,71829821,88762031,18542712,16524188,17328556,17543122,23519879,2639000,0,0,0,0,0,0,0,0,0,0,38216343,42171555,46346242,53758215,62079366,557501,556235,496271,528484,523786
양천구,422857191,400827264,443180401,482296693,584021974,381963660,360718626,400441392,432589148,521128871,155999115,127678577,149353886,164924550,220179959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7901724,7969202,8046585,7839146,8168578,34290786,32311681,35139931,39308975,47037287,6119666,6233382,6636181,7037933,7059241,72745178,78805621,86997048,88512305,98960379,67405121,72632660,79311558,89049224,104276161,27915229,28628908,28613449,28889999,29267141,0,0,0,0,0,0,0,0,0,0,-114,-497,0,0,0,9586955,6459092,6342754,7027016,6180125,40893531,40108638,42739009,49707545,62893103,11995448,8834012,8226448,10394433,12365439,3941000,0,0,0,0,0,0,0,0,0,0,28340340,30780394,34017733,38794148,46093503,557743,494232,494828,518964,493161
강서구,582348358,743619104,733141094,774541359,898206219,522247626,676477312,665152271,692558624,806697959,243793070,356076752,300737383,299737352,389188753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11616862,12799159,15525670,16945037,18262233,47693525,59276259,53081299,58334139,68884015,14485136,16561840,24684065,28584864,28433017,80577356,97446239,130593544,137829760,143478594,83411682,89935898,97767477,107396058,115943283,31287762,33437801,34220962,35107474,35002456,0,0,0,0,0,0,0,0,0,0,-20,-3,0,0,0,9382253,10943367,8541871,8623940,7505608,60100732,67141792,67988823,81982735,91508260,17625842,19566782,16259692,18825917,22305627,5141000,0,0,0,0,0,0,0,0,0,0,41889493,46661373,51194016,62646409,63554148,585397,913637,535115,510409,507485
구로구,392716313,435901885,428401471,425100608,557598724,355787680,399123246,390075700,383149378,507969635,132914223,153191886,135814273,122180276,223032323,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10310260,10534928,11256502,10700051,11088050,29374042,31817658,30560595,29930687,40360805,13539131,15387820,13460875,16882825,16332177,81288614,96845544,103377126,103574191,112404517,55899031,59640923,63385884,67248995,72886272,24175852,24908527,24907213,25195267,25688947,0,0,0,0,0,0,0,0,0,0,0,-55,0,0,0,8286526,6796014,7313232,7437086,6176544,36928633,36778639,38325771,41951230,49629089,12982550,11545699,11588898,13499890,15246466,4154000,0,0,0,0,0,0,0,0,0,0,23000219,24631812,26017784,27851950,29747809,945864,601128,719089,599390,480814
금천구,324783047,351267924,397423699,417418155,445289095,297657192,322782313,368391286,385587405,407838960,106480930,116885700,148360155,152440578,157773926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9927830,10313451,11562195,11470429,12043965,20921854,22905789,25405046,27075511,28366796,17216179,17806443,17703770,19205639,19460747,87725985,96222221,105063138,110602686,121801456,37598196,39367209,41789695,45422755,48568381,13443264,14480854,14732600,15158250,15508528,0,0,0,0,0,0,0,0,0,0,0,0,-43677,0,0,4342954,4800646,3818364,4211557,4315161,27125855,28485611,29032413,31830750,37450135,10724149,11220744,11122535,12363911,13714386,2953000,0,0,0,0,0,0,0,0,0,0,16153210,16732836,17701560,19237557,20572764,248496,532031,208318,229282,209985
영등포구,1021628347,1050612085,1202173447,1325272350,1699928251,931001874,969296567,1119653511,1223808412,1577648709,233501786,247972911,244645609,286380966,565233238,0,0,0,0,0,25006124,24956731,25885571,25055168,4172495,0,0,0,0,0,18476640,19346983,20197348,19146324,20297607,64664335,62319122,64924210,74554769,92410696,53459317,55651834,54847196,63046677,66760801,403977690,421087093,565401338,594448009,650229857,94332072,101231312,108959461,126136828,144087376,30100041,29554382,28349118,27791148,27663180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7483869,7176199,6443660,7248523,6793459,90626473,81315518,82519936,101463938,122279542,46209606,33633206,31317669,41306572,51133332,2308000,0,0,0,0,0,0,0,0,0,0,43734581,46998447,50682720,59441522,68125248,682286,683865,519547,715844,712962
동작구,356614474,382468574,383847552,420048516,492395016,323636457,348744715,350662314,379483662,442229339,143898983,155970717,152096264,161001852,204652871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5857257,5901791,6164388,6309433,6479679,28989377,31075769,30768456,33689429,39824340,6765472,6756459,7071176,7253596,7528776,56175658,62575326,63722716,70712963,73671476,55619136,59526203,64669163,73776170,83726070,20249129,21080478,20951543,21526780,21742931,0,0,0,0,0,0,0,0,0,0,-775,-401,0,0,0,6082220,5858373,5218608,5213439,4603196,32978017,33723859,33185238,40564854,50165677,9354887,8408930,5724358,8859880,10022935,3777000,0,0,0,0,0,0,0,0,0,0,23030513,24699596,26926981,31129216,36080152,592617,615333,533899,575758,285590
관악구,322853784,347786658,341730464,354751669,405905628,292290613,316658513,309647643,319015670,361689795,124190720,141279895,126480646,127437836,161700493,0,0,0,0,0,7648784,7054220,7134080,6164921,1470999,0,0,0,0,0,6878933,6895575,7202004,7197925,7275309,29198916,30965476,29998460,31069154,33053927,4925506,5136652,5408786,5602345,5703493,39673508,42789357,47501167,48987654,56941168,52173899,54675783,58181064,64212210,68342772,20720901,21327452,21250102,21304112,21403009,0,0,0,0,0,0,0,0,0,0,-23,0,0,0,0,6879469,6534103,6491334,7039513,5798625,30563171,31128145,32082821,35735999,44215833,8642190,8358248,7376652,7986191,10011165,4592000,0,0,0,0,0,0,0,0,0,0,21466070,22426356,24009669,26864168,28614256,454911,343541,696500,885640,998412
서초구,1558096592,1637523772,1828994462,1958971316,2200207636,1413326913,1476879437,1653590512,1762436950,1971070839,483241571,441873097,507627210,474986055,657558879,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21221010,21283587,22602478,22370077,23198187,103001227,108842942,116311740,124099749,149721005,45432891,48953744,51375217,53932429,55101468,483580206,559272908,635229092,718626618,671141202,220201035,243518884,268346224,310182262,361958231,41279761,42049501,41769330,41739007,41773828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15369212,11084772,10329221,16500753,10618039,144769679,160644335,175403950,196534366,229136797,32077101,36531202,37747758,34283219,42051043,470000,0,0,0,0,0,0,0,0,0,0,109667030,122842478,136381600,158532101,185248527,3025548,1270655,1274592,3719046,1367227
강남구,2671008103,2759823133,3179117139,3405855845,3791322592,2398682945,2478381237,2860791436,3046002899,3380775230,712796573,656391548,734832908,839439625,979093069,0,0,0,0,0,16815577,16399854,15920408,14173480,2558099,0,0,0,0,0,37007566,37264538,39304930,39921991,41213234,177047435,188930851,196815867,222470725,247580320,84668626,90269263,96403610,104773713,109761829,913990240,1008399932,1254240929,1219141804,1317569177,375980366,406116176,451741351,534523105,612630382,55226380,55709708,54531927,54321000,54479404,0,0,0,0,0,0,0,0,0,0,-757,-8673,0,0,0,25150939,18908040,16999506,17237456,15889716,272325158,281441896,318325703,359852946,410547362,71953034,66736157,78456974,73996069,84651774,0,-402,77,0,-125,0,0,0,0,0,0,195593846,212087476,237174408,282716916,323370328,4778680,2618186,2694321,3140086,2525260
송파구,1191754230,1282359620,1289668136,1521933471,1616715664,1068891841,1159197227,1152100996,1362636518,1434243149,483255457,518627679,436539525,511367520,514769287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19583329,23614638,25208718,24918150,25611638,97459271,98817049,101166363,115266928,123406605,23798808,27808141,32450059,34483025,35744864,190912392,221310918,261983700,345669720,363479944,195883288,209887434,234476414,269580310,309536785,45026421,47003805,48250629,49555088,50714838,0,0,0,0,0,0,0,0,0,0,-9,-37,0,0,0,12972884,12127600,12025588,11795777,10979188,122862389,123162393,137567140,159296953,182472515,28169651,23590882,24283900,27301796,28227580,1683000,0,0,0,0,0,0,0,0,0,0,93610882,98498681,111890756,130868682,151512842,1081856,1072830,1392484,1126475,1049093
강동구,465178342,566918678,501190571,651425902,877635021,414020918,513342442,451251859,596670231,803799082,174918123,254696561,180188914,293033474,458396544,0,0,0,0,0,13287622,14212972,14012932,12660845,1860242,0,0,0,0,0,7349791,7630377,8259051,8227363,9982597,43795981,51513802,45226140,55562150,71045191,8349214,8639549,10247975,11846622,12554552,57646255,61985195,71708003,83655931,99745701,77551623,83433931,90255432,99982007,117371757,24242894,24793599,24712891,25014216,27353777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6879415,6436456,6640521,6687623,5488721,51157424,53576236,49938712,54755671,73835939,16997069,16844535,10320843,11127008,18058537,3598000,0,0,0,0,0,0,0,0,0,0,33608339,36090548,39097163,43119650,51806989,552016,641153,520706,509013,372413
