연도 및 자치구,범죄 발생 합계,살인,강도,성폭력,절도,폭력,인구,면적,면적 대비 범죄 대응시설 수,범죄 대응시설 합계,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,지방세 합계,1인당 평균 지방세 납부액,1인당 평균 지방세 납부액(단위:천원),인구밀도,외국인 주민 수,외국인 비율,성비,65세 이상 인구,65세 이상 인구 비율,공공기관 신뢰도,기초생활 수급자 수,기초생활 수급자 비율,방범용 CCTV 개수,면적 대비 방범용 CCTV 개수
중구,4107.2,2,7.8,210.6,1939,1947.8,135151.6,9.96,2.730924,27.2,0,2,18.2,1,1,5,1.45E+12,10708560.47,10708.56047,13569.4,12472.8,0.092253,97.16,22086.8,0.163409,5.274,4422.8,0.032722,1058.6,106.285141
강남구,7608.4,6.6,18.4,619.4,3128.4,3835.6,554981.8,39.5,0.789873,31.2,0,2,22.6,0,1,5.6,3.16E+12,5710664.673,5710.664673,14049.6,10559.2,0.019056,91.82,67916,0.12255,5.472,12357.2,0.022301,4753.6,120.344304
종로구,3830.8,6.4,7.8,231.4,1553,2032.2,162014,23.91,1.371811,32.8,1,2,22.8,0,1,6,8.60E+11,5311227.381,5311.227381,6775,12610,0.077851,95.74,26636.2,0.164475,4.964,4603.4,0.028438,1295.4,54.178168
서초구,4913.2,5.8,8.8,476,2031.8,2390.8,439834.6,46.982,0.595973,28,0,2,19,0,1,6,1.84E+12,4186504.687,4186.504687,9361.8,8814,0.020067,91.9,55159.2,0.125575,5.164,5600.6,0.012766,2529.8,53.846481
영등포구,5833.6,12.4,8.2,374.6,2306.8,3131.6,404151.2,24.546,0.896276,22,0,1,15,0,1,5,1.26E+12,3116287.795,3116.287795,16466,55222.2,0.136644,99.04,55402.2,0.137081,5.408,8940.2,0.022115,1993.4,81.205128
용산구,3578,2.8,5.2,282.2,1208.2,2079.6,244893.2,21.87,0.86877,19,0,1,12,0,1,5,7.51E+11,3065918.656,3065.918656,11199.6,19397.4,0.079203,93.48,37474.4,0.153025,5.226,6731,0.027486,1905,87.105624
송파구,5716.2,6.6,9,278.2,2402.8,3019.6,673258.6,33.872,0.844355,28.6,0,1,20.6,0,1,6,1.38E+12,2049167.977,2049.167977,19875.4,13114.4,0.019473,94.2,81812.4,0.121455,5.33,12136.6,0.018009,1499.8,44.279684
마포구,4970.6,4.8,4.8,443,2061,2457,386162.4,23.848,1.014763,24.2,0,1,16.2,0,1,6,7.10E+11,1840414.166,1840.414166,16191.6,14626.2,0.037887,90.54,50813.2,0.131628,5.304,8483.6,0.021984,1656,69.437374
성동구,2624.8,3.6,4.6,122,1070.6,1424,309163.8,16.86,1.233689,20.8,0,1,15,0,0.8,4,5.35E+11,1735843.087,1735.843087,18337.8,13047.6,0.042205,96.72,42430.4,0.137333,5.122,8053.8,0.026097,2336,138.552788
금천구,3181.2,5.4,7.2,177,1145.8,1845.8,252364.2,13.02,1.152074,15,0,1,12,0,0,2,3.87E+11,1535992.619,1535.992619,19383,31600.6,0.12526,103.2,35536.4,0.140917,5.578,10196,0.040436,1595,122.50384
강동구,4088.8,4.2,12.2,174,1640.8,2257.6,445027.6,24.59,0.95974,23.6,0,1,16.4,0,1,5.2,6.12E+11,1371139.726,1371.139726,18097.8,8664.6,0.019475,98.1,60222.8,0.135223,5.2,11300,0.02533,1587.8,64.570964
강서구,4910.6,9.8,5.8,286.2,1860.6,2748.2,599628.8,41.44,0.472973,19.6,0,1,12.2,0,1,5.4,7.46E+11,1246397.746,1246.397746,14471,12780.2,0.021321,94.36,79750.2,0.133125,5.392,23207.4,0.038762,1542.8,37.22973
서대문구,3011.2,4,3.2,183.4,1219.6,1601,324020.4,17.624,1.00999,17.8,1,1,10.8,0,1,4,3.42E+11,1056544.175,1056.544175,18386.8,15724.2,0.048544,93,50329.4,0.155352,5.09,8788,0.027133,1813.4,102.885311
광진구,4299,4.6,7.2,259.4,2032.8,1995,368509.2,17.06,0.961313,16.4,0,1,11.4,0,1,3,3.84E+11,1043080.447,1043.080447,21596.8,22155.6,0.060158,94.56,45701.2,0.124134,5.5,9053.4,0.024627,1592.6,93.352872
동대문구,3907,6.8,6.8,165.8,1581,2146.6,364139.6,14.22,1.926864,27.4,0,1,20.4,0,1,5,3.74E+11,1028840.237,1028.840237,25615.8,21336.6,0.05864,99.32,57324.2,0.157538,4.942,12721.4,0.034981,1769.2,124.416315
구로구,4790.6,8,7,254.8,1806.2,2714.6,440300.8,20.12,1.242545,25,0,1,17,0,1,6,4.48E+11,1018894.275,1018.894275,21883.8,52435.8,0.119177,98.2,61722,0.140333,5.45,9738.4,0.022153,2659.6,132.186879
동작구,3251.4,3.4,4.6,297.2,1254.4,1691.8,408321.8,16.35,1.394495,22.8,0,1,16.8,0,1,4,4.07E+11,998054.3993,998.0543993,24967.4,19187.4,0.046995,94.66,59662,0.146197,4.974,9666.4,0.023708,1684,102.996942
양천구,3587.8,4.2,3.8,125,1537.4,1917.4,469014.8,17.41,1.32108,23,0,1,16,0,1,5,4.67E+11,997424.6738,997.4246738,26944.8,8540.8,0.018228,97.08,58344.4,0.124622,5.328,12613.6,0.02698,2622.4,150.626077
성북구,3132.8,5,4.6,165.6,1209.6,1748,453302.2,24.574,1.261496,31,0,2,24,0,1,4,3.89E+11,858760.7804,858.7607804,18445.4,16067.6,0.035468,94.48,68391.4,0.15096,5.008,13516.8,0.029839,2398.4,97.599694
은평구,3848.8,5.4,3.8,187.8,1453.4,2198.4,488678.8,29.708,0.908846,27,0,2,20,0,1,4,3.54E+11,725228.2797,725.2282797,16449,8843,0.018107,93.68,77708.8,0.159115,5.122,19919.6,0.040804,2729.8,91.886225
관악구,5363.6,9.6,8.4,372.8,2109.2,2863.6,518742.6,29.57,0.858979,25.4,0,1,19.4,0,1,4,3.55E+11,684186.3899,684.1863899,17543.4,29616,0.057095,101.24,72298.6,0.139464,5.48,15490.4,0.029916,3155.4,106.709503
중랑구,4378.8,7.4,5.8,166.2,1584.4,2615,407638,18.5,1.264865,23.4,0,1,17.4,0,1,4,2.74E+11,674017.047,674.017047,22039.6,9115.6,0.022395,98.74,62237,0.152881,5.4,18442,0.045376,1712.6,92.572973
노원구,4131,4.4,5.2,177.2,1543.8,2400.4,548356.4,35.44,0.699774,24.8,0,1,17.8,0,1,5,3.21E+11,587001.8447,587.0018447,15473.8,7347.4,0.013441,94.16,77660.6,0.141997,5.326,26814,0.049053,1612.4,45.496614
강북구,3533.4,7.6,5.4,189.6,1071.4,2259.4,322177,23.6,0.864407,20.4,0,1,14.4,0,1,4,1.89E+11,586861.1951,586.8611951,13652,6922.2,0.021527,95.76,58458.2,0.181747,5.312,16804.4,0.0523,1366.6,57.90678
도봉구,2195,1.6,4,102.4,786.2,1301.2,340229.4,20.664,0.745252,15.4,0,1,9.4,0,1,4,1.99E+11,586021.0728,586.0210728,16465.6,4518.6,0.013314,95.96,56102,0.165268,5.44,11698.8,0.034493,695.6,33.665722
